Entity,Code,Year,Gas - Proved reserves
Australia,AUS,1985,553020000000
Australia,AUS,1986,703560000000
Australia,AUS,1987,833820000000
Australia,AUS,1988,805740000000
Australia,AUS,1989,744900000000
Australia,AUS,1990,723060000000
Australia,AUS,1991,741000000000
Australia,AUS,1992,784680000000
Australia,AUS,1993,773760000000
Australia,AUS,1994,1007760000000
Australia,AUS,1995,985920000000
Australia,AUS,1996,1060800000000
Australia,AUS,1997,1165320000000
Australia,AUS,1998,1551420000000
Australia,AUS,1999,1551420000000
Australia,AUS,2000,1718340000000
Australia,AUS,2001,2080260000000
Australia,AUS,2002,1971840000000
Australia,AUS,2003,1857664380000
Australia,AUS,2004,1811644380000
Australia,AUS,2005,1835824380000
Australia,AUS,2006,1851983640000
Australia,AUS,2007,1788283770000
Australia,AUS,2008,2743263900000
Australia,AUS,2009,2753442900000
Australia,AUS,2010,2859664860000
Australia,AUS,2011,2814823947000
Australia,AUS,2012,2819435630000
Australia,AUS,2013,2820378269000
Australia,AUS,2014,2386109117000
Australia,AUS,2015,2389595504000
Australia,AUS,2016,2389595504000
Australia,AUS,2017,2389595504000
Australia,AUS,2018,2389595504000
Australia,AUS,2019,2389595504000
Australia,AUS,2020,2389595504000
Azerbaijan,AZE,1997,655689024000
Azerbaijan,AZE,1998,655689024000
Azerbaijan,AZE,1999,990199709000
Azerbaijan,AZE,2000,990199709000
Azerbaijan,AZE,2001,990199709000
Azerbaijan,AZE,2002,990199709000
Azerbaijan,AZE,2003,990199709000
Azerbaijan,AZE,2004,990199709000
Azerbaijan,AZE,2005,990199709000
Azerbaijan,AZE,2006,990199709000
Azerbaijan,AZE,2007,997965943000
Azerbaijan,AZE,2008,1055436364000
Azerbaijan,AZE,2009,1017381673000
Azerbaijan,AZE,2010,1020923050000
Azerbaijan,AZE,2011,1020923050000
Azerbaijan,AZE,2012,1020923050000
Azerbaijan,AZE,2013,945809000
Azerbaijan,AZE,2014,1339218438000
Azerbaijan,AZE,2015,1318744791000
Azerbaijan,AZE,2016,1318744791000
Azerbaijan,AZE,2017,1318744791000
Azerbaijan,AZE,2018,2094893158000
Azerbaijan,AZE,2019,2503652799000
Azerbaijan,AZE,2020,2503652799000
Bahrain,BHR,1980,569685625000
Bahrain,BHR,1981,550125603000
Bahrain,BHR,1982,542790595000.00006
Bahrain,BHR,1983,533010585000
Bahrain,BHR,1984,523230573999.99994
Bahrain,BHR,1985,511005560000
Bahrain,BHR,1986,498780547000
Bahrain,BHR,1987,484110531000
Bahrain,BHR,1988,464550510000
Bahrain,BHR,1989,447435491000
Bahrain,BHR,1990,432765475000
Bahrain,BHR,1991,422985464000
Bahrain,BHR,1992,408315448000
Bahrain,BHR,1993,388755426000
Bahrain,BHR,1994,374085410000
Bahrain,BHR,1995,359415394000
Bahrain,BHR,1996,347190381000
Bahrain,BHR,1997,347190381000
Bahrain,BHR,1998,347190381000
Bahrain,BHR,1999,288510316000
Bahrain,BHR,2000,268950295000
Bahrain,BHR,2001,268950295000
Bahrain,BHR,2002,268950295000
Bahrain,BHR,2003,224940247000
Bahrain,BHR,2004,220050241000
Bahrain,BHR,2005,220050241000
Bahrain,BHR,2006,220050241000
Bahrain,BHR,2007,207825228000
Bahrain,BHR,2008,220050241000
Bahrain,BHR,2009,220050241000
Bahrain,BHR,2010,207998590000
Bahrain,BHR,2011,207998590000
Bahrain,BHR,2012,189356192000
Bahrain,BHR,2013,180988914000
Bahrain,BHR,2014,172200845000
Bahrain,BHR,2015,163461328000
Bahrain,BHR,2016,173789924000
Bahrain,BHR,2017,182469534000
Bahrain,BHR,2018,182926851000
Bahrain,BHR,2019,77313496000
Bahrain,BHR,2020,64831428000
Bangladesh,BGD,1980,278850000000
Bangladesh,BGD,1981,309075000000
Bangladesh,BGD,1982,330525000000
Bangladesh,BGD,1983,303225000000
Bangladesh,BGD,1984,344175000000
Bangladesh,BGD,1985,344175000000
Bangladesh,BGD,1986,345150000000
Bangladesh,BGD,1987,345150000000
Bangladesh,BGD,1988,341250000000
Bangladesh,BGD,1989,706875000000
Bangladesh,BGD,1990,706875000000
Bangladesh,BGD,1991,702000000000
Bangladesh,BGD,1992,295425000000
Bangladesh,BGD,1993,289575000000
Bangladesh,BGD,1994,293475000000
Bangladesh,BGD,1995,265200000000
Bangladesh,BGD,1996,292500000000
Bangladesh,BGD,1997,289575000000
Bangladesh,BGD,1998,289575000000
Bangladesh,BGD,1999,314925000000
Bangladesh,BGD,2000,298350000000
Bangladesh,BGD,2001,331500000000
Bangladesh,BGD,2002,331500000000
Bangladesh,BGD,2003,422175000000
Bangladesh,BGD,2004,411450000000
Bangladesh,BGD,2005,396825000000
Bangladesh,BGD,2006,373425000000
Bangladesh,BGD,2007,364650000000
Bangladesh,BGD,2008,335400000000
Bangladesh,BGD,2009,354900000000
Bangladesh,BGD,2010,345150000000
Bangladesh,BGD,2011,340275000000
Bangladesh,BGD,2012,265375901000.00003
Bangladesh,BGD,2013,243715288000
Bangladesh,BGD,2014,223447403000
Bangladesh,BGD,2015,197675650000
Bangladesh,BGD,2016,177890724000
Bangladesh,BGD,2017,162362478000
Bangladesh,BGD,2018,120421443000
Bangladesh,BGD,2019,110227268000
Bangladesh,BGD,2020,110227268000
Bolivia,BOL,1980,120142500000
Bolivia,BOL,1981,155750994000
Bolivia,BOL,1982,133942003000
Bolivia,BOL,1983,128344999999.99998
Bolivia,BOL,1984,129310000000.00002
Bolivia,BOL,1985,131240000000
Bolivia,BOL,1986,136064999999.99998
Bolivia,BOL,1987,112229503000
Bolivia,BOL,1988,113773501000
Bolivia,BOL,1989,113387500000
Bolivia,BOL,1990,109431001000
Bolivia,BOL,1991,114062997000
Bolivia,BOL,1992,106632500000
Bolivia,BOL,1993,104123501000
Bolivia,BOL,1994,105763999000
Bolivia,BOL,1995,105764000000
Bolivia,BOL,1996,103837889000
Bolivia,BOL,1997,114768193000
Bolivia,BOL,1998,144826529000
Bolivia,BOL,1999,144826529000
Bolivia,BOL,2000,188353628000
Bolivia,BOL,2001,216844093000
Bolivia,BOL,2002,227132316000
Bolivia,BOL,2003,218426897000
Bolivia,BOL,2004,211304280000
Bolivia,BOL,2005,207508473000
Bolivia,BOL,2006,203469959000
Bolivia,BOL,2007,199274681000
Bolivia,BOL,2008,271648272000.00003
Bolivia,BOL,2009,271648272000.00003
Bolivia,BOL,2010,271648272000.00003
Bolivia,BOL,2011,271648272000.00003
Bolivia,BOL,2012,306048515000
Bolivia,BOL,2013,286920483000
Bolivia,BOL,2014,270525026000
Bolivia,BOL,2015,270525026000
Bolivia,BOL,2016,292418160000
Bolivia,BOL,2017,247024873000
Bolivia,BOL,2018,229946273000
Bolivia,BOL,2019,212867672000
Bolivia,BOL,2020,212867672000
Brazil,BRA,1980,51675000000
Brazil,BRA,1981,58500000000
Brazil,BRA,1982,70200000000
Brazil,BRA,1983,79950000000
Brazil,BRA,1984,81900000000
Brazil,BRA,1985,90675000000
Brazil,BRA,1986,93600000000
Brazil,BRA,1987,102375000000
Brazil,BRA,1988,106275000000
Brazil,BRA,1989,113100000000
Brazil,BRA,1990,112125000000
Brazil,BRA,1991,120900000000
Brazil,BRA,1992,129675000000.00002
Brazil,BRA,1993,133575000000
Brazil,BRA,1994,142350000000
Brazil,BRA,1995,150150000000
Brazil,BRA,1996,154050000000
Brazil,BRA,1997,222300000000
Brazil,BRA,1998,220350000000
Brazil,BRA,1999,225225000000
Brazil,BRA,2000,215475000000
Brazil,BRA,2001,226654930000
Brazil,BRA,2002,252127835000.00003
Brazil,BRA,2003,252945417000
Brazil,BRA,2004,336192441000
Brazil,BRA,2005,315893092000
Brazil,BRA,2006,358687819000
Brazil,BRA,2007,376304508000
Brazil,BRA,2008,375526835000
Brazil,BRA,2009,378474473000
Brazil,BRA,2010,436115881000
Brazil,BRA,2011,473644572000
Brazil,BRA,2012,473422007000
Brazil,BRA,2013,472365536000
Brazil,BRA,2014,485698223000
Brazil,BRA,2015,443286161000
Brazil,BRA,2016,389105670000
Brazil,BRA,2017,380884088000
Brazil,BRA,2018,380346793000
Brazil,BRA,2019,375278663000
Brazil,BRA,2020,348528318000
Brunei,BRN,1980,201825000000
Brunei,BRN,1981,206700000000
Brunei,BRN,1982,215475000000
Brunei,BRN,1983,212550000000
Brunei,BRN,1984,232050000000
Brunei,BRN,1985,232050000000
Brunei,BRN,1986,331500000000
Brunei,BRN,1987,322725000000
Brunei,BRN,1988,313950000000
Brunei,BRN,1989,309075000000
Brunei,BRN,1990,322725000000
Brunei,BRN,1991,386100000000
Brunei,BRN,1992,390000000000
Brunei,BRN,1993,390000000000
Brunei,BRN,1994,390000000000
Brunei,BRN,1995,390000000000
Brunei,BRN,1996,390000000000
Brunei,BRN,1997,381225000000
Brunei,BRN,1998,372450000000
Brunei,BRN,1999,364650000000
Brunei,BRN,2000,356850000000
Brunei,BRN,2001,347100000000
Brunei,BRN,2002,341250000000
Brunei,BRN,2003,336375000000
Brunei,BRN,2004,336375000000
Brunei,BRN,2005,324675000000
Brunei,BRN,2006,312975000000
Brunei,BRN,2007,312975000000
Brunei,BRN,2008,312975000000
Brunei,BRN,2009,301275000000
Brunei,BRN,2010,293706611000
Brunei,BRN,2011,280800000000
Brunei,BRN,2012,269100000000
Brunei,BRN,2013,263249999999.99997
Brunei,BRN,2014,256425000000
Brunei,BRN,2015,251550000000
Brunei,BRN,2016,245700000000
Brunei,BRN,2017,234000000000
Brunei,BRN,2018,222300000000
Brunei,BRN,2019,222300000000
Brunei,BRN,2020,222300000000
CIS,,1980,20469295470000
CIS,,1981,21748627020000
CIS,,1982,22388291450000
CIS,,1983,23027957230000
CIS,,1984,23987456570000
CIS,,1985,25586620340000
CIS,,1986,26226284770000
CIS,,1987,26674050420000
CIS,,1988,27185784120000
CIS,,1989,33262604290000
CIS,,1990,34880957940000
CIS,,1991,36325593170000
CIS,,1992,37120834790000
CIS,,1993,38144438390000
CIS,,1994,38360744230000
CIS,,1995,37834656710000
CIS,,1996,37364672560000
CIS,,1997,38567944390000
CIS,,1998,38421820380000
CIS,,1999,38391596910000
CIS,,2000,38597202780000
CIS,,2001,38801782230000
CIS,,2002,39355317250000
CIS,,2003,39217786100000
CIS,,2004,39075352410000
CIS,,2005,39223022000000
CIS,,2006,39222720610000
CIS,,2007,43258662780000
CIS,,2008,43351335690000
CIS,,2009,45567568940000
CIS,,2010,51330538000000
CIS,,2011,51673368980000
CIS,,2012,51825385390000
CIS,,2013,51108576820000
CIS,,2014,52551650740000
CIS,,2015,52439250370000
CIS,,2016,52858942250000
CIS,,2017,55913852760000
CIS,,2018,56442660680000
CIS,,2019,56767066740000
CIS,,2020,56601728260000
Canada,CAN,1980,2429700000000
Canada,CAN,1981,2498925000000
Canada,CAN,1982,2526225000000
Canada,CAN,1983,2547675000000
Canada,CAN,1984,2738775000000
Canada,CAN,1985,2714400000000
Canada,CAN,1986,2677350000000
Canada,CAN,1987,2625675000000
Canada,CAN,1988,2604225000000
Canada,CAN,1989,2663700000000
Canada,CAN,1990,2656875000000
Canada,CAN,1991,2643225000000
Canada,CAN,1992,2605200000000
Canada,CAN,1993,2176200000000.0002
Canada,CAN,1994,1850550000000
Canada,CAN,1995,1880775000000
Canada,CAN,1996,1893450000000
Canada,CAN,1997,1763775000000
Canada,CAN,1998,1704300000000
Canada,CAN,1999,1676025000000
Canada,CAN,2000,1640925000000
Canada,CAN,2001,1651650000000
Canada,CAN,2002,1622400000000
Canada,CAN,2003,1562925000000
Canada,CAN,2004,1560000000000
Canada,CAN,2005,1555013400000
Canada,CAN,2006,1561825680000
Canada,CAN,2007,1556217360000
Canada,CAN,2008,1670907885000
Canada,CAN,2009,1645396125000
Canada,CAN,2010,1883071003000
Canada,CAN,2011,1829293395000
Canada,CAN,2012,1904480089000
Canada,CAN,2013,1931387108000
Canada,CAN,2014,1892854302000
Canada,CAN,2015,2068144566000
Canada,CAN,2016,1995628184000
Canada,CAN,2017,1984051785000
Canada,CAN,2018,1912506653000
Canada,CAN,2019,1994067770000
Canada,CAN,2020,2353957694000
China,CHN,1980,708328417000
China,CHN,1981,704901672000
China,CHN,1982,865857915000
China,CHN,1983,879968043000
China,CHN,1984,896799410000
China,CHN,1985,878859390000
China,CHN,1986,871804326000
China,CHN,1987,901032448000
China,CHN,1988,929353491000
China,CHN,1989,1030845623999.9999
China,CHN,1990,1006858407000
China,CHN,1991,1009680433000
China,CHN,1992,1409904130000
China,CHN,1993,1683842183000
China,CHN,1994,1682834317000
China,CHN,1995,1682834317000
China,CHN,1996,1179606686000
China,CHN,1997,1169427237000
China,CHN,1998,1377652409000
China,CHN,1999,1377652409000
China,CHN,2000,1377652409000
China,CHN,2001,1378458702000
China,CHN,2002,1277965565000
China,CHN,2003,1346625447000
China,CHN,2004,1459548800000
China,CHN,2005,1546642153000
China,CHN,2006,1696748515000
China,CHN,2007,2272839233000
China,CHN,2008,2710600910000
China,CHN,2009,2868212045000
China,CHN,2010,2747093732000
China,CHN,2011,2928997468000
China,CHN,2012,3139862242000
China,CHN,2013,3374516737000
China,CHN,2014,3576438034000
China,CHN,2015,4679402163000
China,CHN,2016,5479311357000
China,CHN,2017,6070297935000
China,CHN,2018,6363927679000
China,CHN,2019,8398549656000
China,CHN,2020,8398549656000
Colombia,COL,1980,118950000000
Colombia,COL,1981,118950000000
Colombia,COL,1982,117000000000
Colombia,COL,1983,110175000000
Colombia,COL,1984,106275000000
Colombia,COL,1985,104325000000
Colombia,COL,1986,110175000000
Colombia,COL,1987,94575000000
Colombia,COL,1988,123825000000
Colombia,COL,1989,106275000000
Colombia,COL,1990,98475000000
Colombia,COL,1991,96525000000
Colombia,COL,1992,180375000000
Colombia,COL,1993,205725000000
Colombia,COL,1994,208650000000
Colombia,COL,1995,211575000000
Colombia,COL,1996,211575000000
Colombia,COL,1997,191100000000
Colombia,COL,1998,191100000000
Colombia,COL,1999,183300000000
Colombia,COL,2000,125775000000
Colombia,COL,2001,124800000000
Colombia,COL,2002,117000000000
Colombia,COL,2003,111150000000
Colombia,COL,2004,116025000000
Colombia,COL,2005,110175000000
Colombia,COL,2006,119925000000
Colombia,COL,2007,120270856000
Colombia,COL,2008,119485780000
Colombia,COL,2009,129106784000
Colombia,COL,2010,147313103000
Colombia,COL,2011,148893891000
Colombia,COL,2012,156089202000
Colombia,COL,2013,150120364000
Colombia,COL,2014,129706393000
Colombia,COL,2015,118858916000
Colombia,COL,2016,109665108000
Colombia,COL,2017,106185356000
Colombia,COL,2018,103078289000
Colombia,COL,2019,86207464000
Colombia,COL,2020,86207464000
Denmark,DNK,1980,85485000000
Denmark,DNK,1981,85485000000
Denmark,DNK,1982,85485000000
Denmark,DNK,1983,102165000000
Denmark,DNK,1984,107377500000
Denmark,DNK,1985,94867500000
Denmark,DNK,1986,74017500000
Denmark,DNK,1987,72975000000
Denmark,DNK,1988,82357500000
Denmark,DNK,1989,112590000000
Denmark,DNK,1990,103207500000
Denmark,DNK,1991,105292500000
Denmark,DNK,1992,134482500000
Denmark,DNK,1993,131355000000
Denmark,DNK,1994,129270000000
Denmark,DNK,1995,125099999999.99998
Denmark,DNK,1996,118845000000
Denmark,DNK,1997,115717500000
Denmark,DNK,1998,108420000000
Denmark,DNK,1999,138450000000
Denmark,DNK,2000,140400000000
Denmark,DNK,2001,137475000000
Denmark,DNK,2002,125775000000
Denmark,DNK,2003,132600000000
Denmark,DNK,2004,128700000000.00002
Denmark,DNK,2005,118950000000
Denmark,DNK,2006,117000000000
Denmark,DNK,2007,71931779000
Denmark,DNK,2008,57177616000
Denmark,DNK,2009,66500248000
Denmark,DNK,2010,54031451000
Denmark,DNK,2011,44736468000
Denmark,DNK,2012,39572577000
Denmark,DNK,2013,37985591000
Denmark,DNK,2014,36433680000
Denmark,DNK,2015,17744148000
Denmark,DNK,2016,13568028000
Denmark,DNK,2017,28196104000
Denmark,DNK,2018,29189525000
Denmark,DNK,2019,29640901000
Denmark,DNK,2020,28027957000
Egypt,EGY,1980,80850000000
Egypt,EGY,1981,79887500000
Egypt,EGY,1982,195387500000
Egypt,EGY,1983,192500000000
Egypt,EGY,1984,226187500000
Egypt,EGY,1985,245437500000
Egypt,EGY,1986,279125000000
Egypt,EGY,1987,295487500000
Egypt,EGY,1988,316662500000
Egypt,EGY,1989,337837500000
Egypt,EGY,1990,364787500000
Egypt,EGY,1991,381150000000
Egypt,EGY,1992,419650000000
Egypt,EGY,1993,572687500000
Egypt,EGY,1994,607337500000
Egypt,EGY,1995,620812500000
Egypt,EGY,1996,817162500000
Egypt,EGY,1997,892237500000
Egypt,EGY,1998,981750000000
Egypt,EGY,1999,1177137500000
Egypt,EGY,2000,1379262500000
Egypt,EGY,2001,1498612500000
Egypt,EGY,2002,1594862500000
Egypt,EGY,2003,1660120000000
Egypt,EGY,2004,1799875000000
Egypt,EGY,2005,1823937500000
Egypt,EGY,2006,1910562500000
Egypt,EGY,2007,1992375000000
Egypt,EGY,2008,2069375000000
Egypt,EGY,2009,2107875000000
Egypt,EGY,2010,2127125000000
Egypt,EGY,2011,2107875000000
Egypt,EGY,2012,2103062500000
Egypt,EGY,2013,2103062500000
Egypt,EGY,2014,2104025000000
Egypt,EGY,2015,2007775000000
Egypt,EGY,2016,2137712500000.0002
Egypt,EGY,2017,2137712500000.0002
Egypt,EGY,2018,2137712500000.0002
Egypt,EGY,2019,2137712500000.0002
Egypt,EGY,2020,2137712500000.0002
Europe,,1980,4279654880000
Europe,,1981,4115446145000
Europe,,1982,3984364460000
Europe,,1983,4231544000000.0005
Europe,,1984,4163854550000
Europe,,1985,4259397220000.0005
Europe,,1986,4197105275000
Europe,,1987,4937539050000
Europe,,1988,5328646085000
Europe,,1989,5273818475000
Europe,,1990,5514212355000
Europe,,1991,5065175253000
Europe,,1992,5166606963000
Europe,,1993,5072721035000
Europe,,1994,5039326898000
Europe,,1995,5016020846000
Europe,,1996,5095356546000
Europe,,1997,5507996424000
Europe,,1998,5432687157000
Europe,,1999,5506968182000
Europe,,2000,5370348209000
Europe,,2001,6137210556000
Europe,,2002,5939884868000
Europe,,2003,6068750332000
Europe,,2004,5857720222000
Europe,,2005,5683103590000
Europe,,2006,5439520108000
Europe,,2007,5269230749000
Europe,,2008,4999568424000
Europe,,2009,4794381148000
Europe,,2010,4668876959000
Europe,,2011,4602109422000
Europe,,2012,4800558409000
Europe,,2013,4650931890000
Europe,,2014,4378115099000.0005
Europe,,2015,4227303227000
Europe,,2016,3988833910000
Europe,,2017,3902994866000
Europe,,2018,3413389270000
Europe,,2019,3276960326000
Europe,,2020,3168782114000
European Union,,1980,3095064880000
European Union,,1981,3008161145000
European Union,,1982,2925326960000
European Union,,1983,3012496500000
European Union,,1984,2960879550000
European Union,,1985,2968312720000
European Union,,1986,3012551275000
European Union,,1987,2950215800000
European Union,,1988,2915436085000
European Union,,1989,2891843475000
European Union,,1990,3199313105000
European Union,,1991,3162403003000
European Union,,1992,3083437963000
European Union,,1993,2997807035000
European Union,,1994,2942145398000
European Union,,1995,2870562346000
European Union,,1996,2800631546000
European Union,,1997,2774029928000
European Union,,1998,2673970580000
European Union,,1999,2661786448000
European Union,,2000,2547517601000
European Union,,2001,2470954948000
European Union,,2002,2369964261000
European Union,,2003,2232823443000
European Union,,2004,2148767114000
European Union,,2005,2058080373000.0002
European Union,,2006,1940355520000
European Union,,2007,1826926161000
European Union,,2008,1722497048000
European Union,,2009,1737208031000
European Union,,2010,1636052173000
European Union,,2011,1549301195000
European Union,,2012,1293976864000
European Union,,2013,1215818858000
European Union,,2014,1104247556000
European Union,,2015,1086750455000
European Union,,2016,984070356000
European Union,,2017,946822992000
European Union,,2018,505122906999.99994
European Union,,2019,446495970000
European Union,,2020,441815658000
Germany,DEU,1980,258375000000.00003
Germany,DEU,1981,241800000000
Germany,DEU,1982,234975000000
Germany,DEU,1983,312000000000
Germany,DEU,1984,298350000000
Germany,DEU,1985,288600000000
Germany,DEU,1986,372450000000
Germany,DEU,1987,366600000000
Germany,DEU,1988,353925000000
Germany,DEU,1989,342225000000
Germany,DEU,1990,211575000000
Germany,DEU,1991,190125000000
Germany,DEU,1992,193050000000
Germany,DEU,1993,193050000000
Germany,DEU,1994,216450000000
Germany,DEU,1995,211166826000
Germany,DEU,1996,215426686000
Germany,DEU,1997,201296613000
Germany,DEU,1998,200602902000
Germany,DEU,1999,237416178000
Germany,DEU,2000,232052888000
Germany,DEU,2001,223763526000
Germany,DEU,2002,211366411000
Germany,DEU,2003,190704553000
Germany,DEU,2004,176900674000
Germany,DEU,2005,164327713000
Germany,DEU,2006,143226241000
Germany,DEU,2007,130389512000.00002
Germany,DEU,2008,110958574000
Germany,DEU,2009,86428112000
Germany,DEU,2010,76668682000
Germany,DEU,2011,69898626000
Germany,DEU,2012,62425188000
Germany,DEU,2013,54951750000
Germany,DEU,2014,45016474000
Germany,DEU,2015,40796179000
Germany,DEU,2016,37015499000
Germany,DEU,2017,32619359000
Germany,DEU,2018,26640608000
Germany,DEU,2019,21804854000
Germany,DEU,2020,19659538000
India,IND,1980,334425000000
India,IND,1981,400725000000
India,IND,1982,409500000000
India,IND,1983,450450000000
India,IND,1984,466050000000
India,IND,1985,468000000000
India,IND,1986,527475000000
India,IND,1987,538200000000
India,IND,1988,585000000000
India,IND,1989,668850000000
India,IND,1990,682500000000
India,IND,1991,711750000000
India,IND,1992,716625000000
India,IND,1993,700050000000
India,IND,1994,684450000000
India,IND,1995,650755875000
India,IND,1996,617260875000
India,IND,1997,666300250000
India,IND,1998,649456500000
India,IND,1999,623661500000
India,IND,2000,731317125000
India,IND,2001,734339375000
India,IND,2002,722558375000
India,IND,2003,821975000000
India,IND,2004,888387500000
India,IND,2005,1073475000000
India,IND,2006,1048125000000
India,IND,2007,1015437500000
India,IND,2008,1049125000000.0001
India,IND,2009,1073437750000.0001
India,IND,2010,1105498625000
India,IND,2011,1230132750000
India,IND,2012,1280356000000
India,IND,2013,1303956500000
India,IND,2014,1373630913000
India,IND,2015,1204944125000
